Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road Width,Road Type,Build Area
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,90000000,6,3,2,10,1-0-0-0 Aana,20 Feet , Blacktopped,18-0-0-0 Aana
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000,5,3,2,9,0-21-0-0 Aana,20 Feet , Blacktopped,0-14-0-0 Aana
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,5,3,2,12,1-1-0-0 Aana,20 Feet , Blacktopped,10-1-0-0 Aana
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,130000000,6,4,3,9,0-10-1-0 Aana,20 Feet , Blacktopped,0-7-1-0 Aana
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000,6,3,2,10,0-19-2-0 Aana,20 Feet , Blacktopped,0-14-2-0 Aana
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,100000000,5,6,3,9,0-12-3-1 Aana,13 Feet , Blacktopped,0-8-3-1 Aana
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3,1,3-1-1 Aana,11 Feet , Gravelled,N/A Aana
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2,9,0-8-5-0 Aana,20 Feet , Blacktopped,0-6-5-0 Aana
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,0-12-3-2 Aana,20 Feet , Blacktopped,0-9-3-2 Aana
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,0-4-0-0 Aana,12 Feet , Concrete,2394 Aana
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3,3,14 Aana,15 Feet , Blacktopped,7 Aana
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3,1,0-4-2-0 Aana,14 Feet , Paved,2500 Aana
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1,1,5 Aana,12 Feet , Gravelled,N/A Aana
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3,3,8 Aana,20 Feet , Blacktopped,N/A Aana
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3,1,4 Aana,13 Feet , Paved,N/A 
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3,1,4 Aana,13 Feet , Gravelled,2700 Sq. Feet
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,0-6-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,18500000,4,4,N/A,3,6 Aana,13 Feet,NA,N/A Aana
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,62000000,7,4,N/A,3,10 Aana,0 Feet,NA,N/A Aana
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,10500000,0,0,N/A,0,0-4-0-0 Aana,10 Feet,NA,N/A Aana
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3,1,0-3-2-0 Aana,10 Feet , Gravelled,2100 Sq. Feet
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000,0,0,N/A,0,0-3-2-0 Aana,20 Feet , Blacktopped,N/A Sq. Feet
"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,145000000,95,40,5,7,21 Aana,20 Feet , Blacktopped,N/A Aana
